feature,category,status,workshop_items,avg_subscriptions,total_subscriptions,community_interest,status_order
Steam Workshop,General,In Game,1166,3156.0,3679848,3679848.0,1
Paramaker,Paramaker,In Game,758,4325.0,3278392,3278392.0,1
Build Mode,Build Mode,In Game,975,2317.0,2259038,2259038.0,1
Open World Town,Live Mode,In Game,4020,295.0,1185191,1185191.0,1
Live Mode,Live Mode,In Game,637,1820.0,1159210,1159210.0,1
Personality Traits,Live Mode,In Game,462,719.0,332317,332317.0,1
More Traits & Emotions,Live Mode,Q4 2026,371,2130.0,790258,790258.0,2
Bug Fixes & Polish,General,Q4 2026,254,2916.0,740727,740727.0,2
More Jobs,Live Mode,Q4 2026,405,1458.0,590481,590481.0,2
Live Mode Improvements,Live Mode,Q4 2026,126,1674.0,210940,210940.0,2
Town Editing Tools,Build Mode,Within 2 Years,958,1314.0,1258354,1258354.0,3
Gardening & Fishing,Live Mode,Within 2 Years,339,1464.0,496137,496137.0,3
Pets,Live Mode,Within 2 Years,105,2217.0,232835,232835.0,3
Weather & Seasons,Live Mode,Within 2 Years,124,1428.0,177123,177123.0,3
Story Progression,Live Mode,Within 2 Years,371,348.0,129293,129293.0,3
Vehicles,Live Mode,Within 2 Years,61,1518.0,92586,92586.0,3
Boats & Houseboats,Build Mode,Within 2 Years,65,1056.0,68628,68628.0,3
Pools & Swimming,Build Mode,Within 2 Years,76,859.0,65282,65282.0,3
Social Events,Live Mode,Within 2 Years,60,570.0,34171,34171.0,3
Family Tree,Live Mode,Within 2 Years,2,484.0,968,968.0,3
