main tag,subtag
Mod,Mod
Build Mode,Build Mode
Build Mode,Furniture
Build Mode,Table
Build Mode,Seating
Build Mode,Bed
Build Mode,Appliance
Build Mode,Electronic
Build Mode,Lighting
Build Mode,Hobby
Build Mode,Baby/Toddler
Build Mode,Kid
Build Mode,Decor
Build Mode,Clutter
Build Mode,Door
Build Mode,Window
Build Mode,Architectural
Build Mode,Nature
Paramaker,Paramaker
Paramaker,Hairstyle
Paramaker,Facial Hair
Paramaker,Facial Detail
Paramaker,Facial Preset
Paramaker,Body
Paramaker,Headwear
Paramaker,Top
Paramaker,Bottoms
Paramaker,Overall
Paramaker,Shoes
Paramaker,Makeup
Paramaker,Accessory
Live Mode,Live Mode
Live Mode,Personality
Live Mode,Interaction
Live Mode,Animation
Live Mode,Autonomy
Live Mode,Occupation
Live Mode,Together Card
Live Mode,Story Card
Live Mode,Storyteller
Live Mode,Goal
Live Mode,Need
Live Mode,Want
Live Mode,Emotion
Live Mode,Skill
Live Mode,Cooking Recipe
Live Mode,Status Effect
Live Mode,Newspaper
Live Mode,Mail
Live Mode,Collectible
General,Translation
General,Interface
General,Camera
General,Misc
Household,Household
Household,Single Parafolk
Household,Couple
Household,Friend
Household,Family
Lots,Lot
Lots,House
Lots,Apartment
Lots,Shop
Lots,Restaurant
Lots,Park
Lots,Unique
Old Tags,Modpacks
Old Tags,Households
Old Tags,Houses
